customer,name,address,geometry
     27641,UNIVERSAL BEVERAGES,585 BERRIMAN ST,"(40.66432605, -73.87518923294257)"
     14394,PUEBLO MEAT SUPERMARKET INC,880 MOUNT PROSPECT AVE STE 1,"(None, None)"
     90476,ROSITA - GLENDALE HEIGHTS,500 E. NORTH AVENUE,"(39.3116705, -76.60932633714825)"
     30091,WESTERN BEEF #36,1564 SOUTHERN BLVD,"(40.83526485, -73.88860771796797)"
   1912392,WAL-MART #2392,3560 BEE RIDGE ROAD,"(27.297469, -82.498089)"
     25880,FINE FARE,595 OLD COUNTRY ROAD,"(40.7706761, -73.4936456)"
    451492,FOOD GIANT SUPERMARKET,15006 NE 6TH AVE,"(25.91254222222222, -80.18758452525252)"
   1914141,WAL-MART #4141,9020 ULMERTON ROAD,"(27.8930852, -82.764221672184)"
     90078,BEST VALUE DISTRIBUTORS,101 W. 84TH STREET,"(40.7853896, -73.9734105)"
   1912284,WALMART #2284 VEND#251893921,1100 NORTH HAVEN RD,"(41.65027, -83.659677)"
   1915106,WAL-MART #5106,4255 ALAFAYA TRAIL,"(28.6133577, -81.20910548250089)"
     30135,ASSOCIATED #867 (IND)/FRANCO -IV,1585 WESTCHESTER AVE,"(40.8292323, -73.8760781)"
     71827,AAA WHOLESALE,330 OLD GATE LN,"(41.2346559, -73.0283975)"
    172758,PUBLIX #758,841 CYPRESS PKWY,"(28.1483414, -81.4515411)"
   1912818,WAL-MART #2818,7850 CABELA DR,"(41.569206300000005, -87.48264748659156)"
     13118,130-10 FOOD CORP.-TRADE FAIR,13010 METROPOLITAN AVE,"(39.07258888888889, -94.88273344444444)"
   1915252,WAL-MART #5252,4221 ATLANTA HWY,"(33.84088085, -83.9111120980916)"
     18629,LA SIERRA COFFEE ROASTERS,22 E BLACKWELL ST,"(40.8842288, -74.5571772)"
    399895,BRAVO SM,4340 W HILLSBOROUGH AVE,"(28.0179763, -82.6198625)"
   1915414,WAL-MART #5414 V#251893921,580 US HIGHWAY 9,"(40.211257486813395, -74.2592449762058)"
   1911156,WAL-MART #1156,169 NORMAN STATION BLVD,"(35.5890713, -80.8556545)"
   1912227,WALMART #2227 VEND#251893921,777 BROCKTON AVE,"(42.09617755, -70.9685309348312)"
   1913417,WAL-MART #3417,6650 COLLIER BLVD,"(26.057333049999997, -81.69703065833028)"
   1721068,PUBLIX #1068,15729 PINES BLVD,"(26.0095567, -80.3556623)"
    172679,PUBLIX #679,6901 TAFT ST,"(26.0256808, -80.2265153)"
   1913658,WAL-MART 3658,2107 PYRAMID VILLAGE BLVD,"(None, None)"
     26094,AMERICAS FOOD BASKET #366,9930 CORONA AVE,"(35.179967218045114, -106.52977061654136)"
   1300508,NAVARRO/CVS Y MAS #0508,1205 W VINE ST,"(28.30522045, -81.41662509915386)"
   1911314,WAL-MART #1314,3795 BUFORD DR,"(34.084943128799026, -83.98987553513489)"
    101230,REGIONAL DISTRIBUTOR INC,8771 NW 99 ST,"(50.3202087, 17.5816334)"
    428429,STOP & SHOP #429,1100 MASSACHUSETTS AVE,"(42.3264573, -71.0648216)"
    133037,NAVARRO/CVS #37 (10726),3105 NW 7 ST,"(49.62397645, 20.69806522491988)"
    135008,PRESIDENTE #8,4645 GUN CLUB RD,"(46.59141982524525, -120.43850530241475)"
    461800,PRICE CHOICE #6,1900 W. 60 STREET,"(26.6452959, 87.9989074)"
    172575,PUBLIX #575,5407 OVERSEAS HWY,"(24.71448105, -81.07617197310182)"
     30025,KEY FOOD #2580 (C),120 PASSAIC ST,"(40.86658390414092, -74.10425255757163)"
    701008,COMPARE FOOD WINSTON SALEM,951 SILAS CREEK PKWY,"(36.066027753955645, -80.2527324069907)"
     27498,BJS CLUB #800,869 QUAKER HIGHWAY,"(42.02000785, -71.60448249703026)"
     13155,BRAVO SUPERMARKET,80 EAST 93RD STREET,"(40.6631509, -73.9280792)"
    444040,FOOD DEPOT STORE #40,3696 HWY 5,"(52.6576904, -119.191785)"
   1721443,PUBLIX #1443,1324 HOMESTEAD RD N,"(26.6094608, -81.650866)"
    172055,PUBLIX #55,1700 S CONGRESS AVE,"(30.246984, -97.750991)"
     12340,BRAVO SUPERMARKET (I),321 SCOTLAND RD,"(39.85443804493931, -76.21168507321993)"
  136026KF,# 4224 FESTIVAL FOOD SUPERMARKET # 3,10927 SW 40TH ST,"(25.7329731, -80.3722618)"
     11964,FINE FARE,200 W BUTTONWOOD ST,"(40.341098, -75.93805)"
  672302KF,# 4258 - PRICE CHOICE #3,1941 NW 9TH AVE,"(26.688084017767935, -81.99219241182794)"
   1911225,WAL-MART #1225,899 BLANDING BLVD,"(30.137709, -81.768837)"
    676696,ZETRACO INC BON TRADE INT. CORP,9643 NW 33RD ST,"(25.8054272, -80.3514524)"
   1913292,WAL-MART #3292 V#251893921,900 SPRINGFIELD RD,"(40.687071, -74.29990159566162)"
     14399,READING PLAZA FOOD CORP.,600 GREENWICH ST,"(40.730487, -74.008274)"
   1914160,WAL-MART #4160,1101 S. GOLDWYN AVE,"(-34.7699991, 138.6232503)"
